panel,suite,d_mape,d_bias,d_rmse,d_spearman
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r00,1.6335620664400068,1.8836939706786033,0.0013210485460913302,0.006321677832062833
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r01,3.7329814665505054,6.032928769048944,0.00030923019163447973,0.006979521888439921
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r02,10.506913247899046,22.06321901853096,0.00028394313374635605,0.0024527525867963917
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r03,0.8497098361027042,0.06849610403969209,0.0004895881542295588,0.014105180003393059
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r04,1.5852242768163407,2.0033773092310767,0.00021961503540224303,0.005338657616270781
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r05,7.691609428969294,10.02638523636422,0.0004722422452366759,0.006125915030446738
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r06,12.778997680302542,36.432401012361616,0.0001207044970044091,0.024697184384125548
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r07,10.178258147024295,24.052453779610353,0.0007625371726245889,0.009419941001890697
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r08,0.22934038094978249,0.4064380013723561,4.0142083486849334e-05,8.423062172902007e-05
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r09,2.255408959831911,8.668707095720732,5.7469397676812584e-05,0.0048811204983628675
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r10,7.6107651729624735,8.334986813020102,0.0004630988235097,0.02980194855687418
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r11,2.6100263327587143,5.516411613545344,0.00010218684167678793,0.00620905389288684
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r12,12.729815269272244,13.586807393869286,0.0006821187085349345,0.011910086402128095
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r13,0.6911873516178204,0.814881281249157,0.00017101001366748303,0.004340232520070486
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r14,6.016253165465923,8.662585730045382,0.0005041862002707898,0.009211635401301044
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r15,7.63387856115439,11.697625307425035,0.0003333115068177295,0.006218738557711823
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r16,7.533720222628496,10.60348282344523,0.0002255382332397582,0.007412579558252974
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r17,10.67366802284737,35.93551446510483,0.00023163266093439994,0.14669700305321892
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r18,1.312717609402334,6.654775726576805,0.000332096267149945,0.005172578657612725
cdnow,real_panel_benchmarks__ValendinLSTM__cdnow__r19,8.318944184188304,38.17794191515911,2.2717129456117924e-05,0.011073544773350874
electronics,real_panel_benchmarks__ValendinLSTM__electronics__r00,4.399727342012852,8.507702789563197,0.00014317008594494363,0.009086140754610138
electronics,real_panel_benchmarks__ValendinLSTM__electronics__r01,21.547921089631416,30.510702247835624,0.0006173994900890989,0.01494113164710442
electronics,real_panel_benchmarks__ValendinLSTM__electronics__r02,4.275800964202162,7.24921614928698,5.93649285055009e-05,0.02512535188494995
electronics,real_panel_benchmarks__ValendinLSTM__electronics__r03,1.476346308587111,1.8305385262936937,0.0002242659555257709,0.0029478222279292624
electronics,real_panel_benchmarks__ValendinLSTM__electronics__r04,0.30088616302069227,0.6419904760179733,8.483436950423862e-06,0.002760562690807447
